kind,symbol,title
c,B05,"SPRAYING OR ATOMISING IN GENERALAPPLYING FLUENT MATERIALS TO SURFACES, IN GENERAL"
u,B05B,SPRAYING APPARATUSATOMISING APPARATUSNOZZLESspray-mixers with nozzles processes for applying liquids or other fluent materials to surfaces by spraying
u,B05C,"APPARATUS FOR APPLYING FLUENT MATERIALS TO SURFACES, IN GENERALspraying apparatus, atomising apparatus, nozzles plant for applying liquids or other fluent materials to objects by electrostatic spraying"
u,B05D,"PROCESSES FOR APPLYING FLUENT MATERIALS TO SURFACES, IN GENERALconveying articles or workpieces through baths of liquid , e.g."
c,B06,GENERATING OR TRANSMITTING MECHANICAL VIBRATIONS IN GENERAL
u,B06B,"GENERATING OR TRANSMITTING MECHANICAL VIBRATIONS IN GENERALfor particular physical or chemical processes, see the relevant subclasses, e.g. , , , , measurement of mechanical vibrations, including the combination of generation and measurement, systems using reflection or reradiation of acoustic waves generating seismic energy for prospecting control of mechanical vibrations methods or devices for transmitting, conducting or directing sound, in general synthesis of acoustic waves piezoelectric, electrostrictive or magnetostrictive elements , motors with vibrating magnet, armature or coil motors using piezoelectric effect, electrostriction or magnetostriction generation of electrical oscillations electromechanical resonators as resonant circuit elements loudspeakers, microphones, gramophone pick-ups or like acoustic electromechanical transducers"
c,B07,SEPARATING SOLIDS FROM SOLIDSSORTING
u,B07B,"SEPARATING SOLIDS FROM SOLIDS BY SIEVING, SCREENING, SIFTING OR BY USING GAS CURRENTSSEPARATING BY OTHER DRY METHODS APPLICABLE TO BULK MATERIAL, e.g. LOOSE ARTICLES FIT TO BE HANDLED LIKE BULK MATERIALwet separating processes, sorting by processes using fluent material in the same way as liquid combinations of dry separating apparatus with wet separating apparatus using liquids , sorting by magnetic or electrostatic separation of solid materials from solid materials or fluids, separation by high voltage electric fields centrifuges or vortex apparatus for carrying out physical processes hand sorting, postal sorting, sorting by switching or other devices actuated in response to detection or measurement of some feature of articles or samples of material"
u,B07C,"POSTAL SORTINGSORTING INDIVIDUAL ARTICLES, OR BULK MATERIAL FIT TO BE SORTED PIECE-MEAL, e.g. BY PICKINGspecially adapted for a specific purpose covered by another class, see the relevant place, e.g. ,"
c,B08,CLEANING
u,B08B,"CLEANING IN GENERALPREVENTION OF FOULING IN GENERALbrushes devices for domestic or like cleaning separation of particles from liquids or gases separation of solids , spraying or applying liquids or other fluent materials to surfaces in general cleaning devices for conveyors concurrent cleaning, filling and closing of bottles inhibiting corrosion or incrustation in general cleaning streets, permanent ways, beaches or land parts, details or accessories of swimming or splash baths or pools, specially adapted for cleaning preventing or removing electrostatic charges"
c,B09,DISPOSAL OF SOLID WASTERECLAMATION OF CONTAMINATED SOIL
u,B09B,DISPOSAL OF SOLID WASTE NOT OTHERWISE PROVIDED FOR
u,B09C,"RECLAMATION OF CONTAMINATED SOILgatherers for removing stones or the like from the soil   sterilising soil by steam     removing undesirable matter, e.g. rubbish, from the land"
c,B21,MECHANICAL METAL-WORKING WITHOUT ESSENTIALLY REMOVING MATERIALPUNCHING METAL
u,B21B,"ROLLING OF METALauxiliary operations used in connection with metal-working operations covered in , seebending by rolling manufacture of particular objects, e.g. screws, wheels, rings, barrels, balls, by rolling pressure welding by means of a rolling mill"
u,B21C,"MANUFACTURE OF METAL SHEETS, WIRE, RODS, TUBES, PROFILES OR LIKE SEMI-MANUFACTURED PRODUCTS OTHERWISE THAN BY ROLLINGAUXILIARY OPERATIONS USED IN CONNECTION WITH METAL-WORKING WITHOUT ESSENTIALLY REMOVING MATERIAL"
u,B21D,"WORKING OR PROCESSING OF SHEET METAL OR METAL TUBES, RODS OR PROFILES WITHOUT ESSENTIALLY REMOVING MATERIALPUNCHING METALworking or processing of wire"
u,B21F,"WORKING OR PROCESSING OF METAL WIRErolling of metal by drawing, auxiliary operations used in connection with metal-working without essentially removing material bundling articles"
u,B21G,"MAKING NEEDLES, PINS OR NAILS OF METAL"
u,B21H,"MAKING PARTICULAR METAL OBJECTS BY ROLLING, e.g. SCREWS, WHEELS, RINGS, BARRELS, BALLSessentially from sheet metal"
u,B21J,"FORGINGHAMMERINGPRESSING METALRIVETINGFORGE FURNACESrolling of metal making particular products by forging or pressing cladding or plating finishing surfaces by hammering compacting surfaces by blasting with particulate material general features of presses, presses for consolidating scrap furnaces in general"
u,B21K,"MAKING FORGED OR PRESSED METAL PRODUCTS, e.g. HORSE-SHOES, RIVETS, BOLTS OR WHEELSmaking particular articles by working sheet metal without essentially removing material processing wire making pins, needles or nails making particular articles by rolling forging machines, pressing machines, hammering machines, in general making chains plating"
u,B21L,MAKING METAL CHAINSmaking chains or chain links by casting chains in general
c,B22,CASTINGPOWDER METALLURGY
u,B22C,FOUNDRY MOULDINGmoulding refractory materials in general
u,B22D,"CASTING OF METALSCASTING OF OTHER SUBSTANCES BY THE SAME PROCESSES OR DEVICESshaping of plastics or substances in a plastic state metallurgical processing, selection of substances to be added to metal ,"
u,B22F,WORKING METALLIC POWDERMANUFACTURE OF ARTICLES FROM METALLIC POWDERMAKING METALLIC POWDERmaking alloys by powder metallurgy APPARATUS OR DEVICES SPECIALLY ADAPTED FOR METALLIC POWDER
c,B23,MACHINE TOOLSMETAL-WORKING NOT OTHERWISE PROVIDED FOR
u,B23B,"TURNINGBORINGusing an electrode which takes the place of a tool , e.g. making holes working by laser beam arrangements for copying or controlling"
u,B23C,MILLINGbroaching broach-milling in making gears arrangements for copying or controlling
u,B23D,"PLANINGSLOTTINGSHEARINGBROACHINGSAWINGFILINGSCRAPINGLIKE OPERATIONS FOR WORKING METAL BY REMOVING MATERIAL, NOT OTHERWISE PROVIDED FORmaking toothed gears or the like cutting metal by applying heat locally arrangements for copying or controlling"
u,B23F,"MAKING GEARS OR TOOTHED RACKSby stamping by rolling by forging or pressing by casting arrangements for copying or controlling machines or devices for grinding or polishing, in general"
u,B23G,"THREAD CUTTINGWORKING OF SCREWS, BOLT HEADS OR NUTS, IN CONJUNCTION THEREWITHthread-forming by corrugating tubes  by rolling by forging, pressing or hammering  making helical grooves by turning by milling by grinding  arrangements for copying or controlling"
u,B23H,"WORKING OF METAL BY THE ACTION OF A HIGH CONCENTRATION OF ELECTRIC CURRENT ON A WORKPIECE USING AN ELECTRODE WHICH TAKES THE PLACE OF A TOOLSUCH WORKING COMBINED WITH OTHER FORMS OF WORKING OF METALprocesses for the electrolytic or electrophoretic production of coatings, electroforming, or apparatus therefor processes for the electrolytic removal of material from objects manufacturing printed circuits using precipitation techniques to apply the conductive material to form the desired conductive pattern"
u,B23K,"SOLDERING OR UNSOLDERINGWELDINGCLADDING OR PLATING BY SOLDERING OR WELDINGCUTTING BY APPLYING HEAT LOCALLY, e.g. FLAME CUTTINGWORKING BY LASER BEAMmaking metal-coated products by extruding metal building up linings or coverings by casting casting by dipping manufacture of composite layers by sintering metal powder arrangements on machine tools for copying or controlling covering metals or covering materials with metals, not otherwise provided for burners"
u,B23P,METAL-WORKING NOT OTHERWISE PROVIDED FORCOMBINED OPERATIONSUNIVERSAL MACHINE TOOLSarrangements for copying or controlling
u,B23Q,"DETAILS, COMPONENTS, OR ACCESSORIES FOR MACHINE TOOLS, e.g. ARRANGEMENTS FOR COPYING OR CONTROLLINGtools of the kind used in lathes or boring machines MACHINE TOOLS IN GENERAL, CHARACTERISED BY THE CONSTRUCTION OF PARTICULAR DETAILS OR COMPONENTSCOMBINATIONS OR ASSOCIATIONS OF METAL-WORKING MACHINES, NOT DIRECTED TO A PARTICULAR RESULT"
c,B24,GRINDINGPOLISHING
u,B24B,"MACHINES, DEVICES, OR PROCESSES FOR GRINDING OR POLISHINGby electro-erosion abrasive or related blasting  electrolytic etching or polishing DRESSING OR CONDITIONING OF ABRADING SURFACESFEEDING OF GRINDING, POLISHING, OR LAPPING AGENTS"
u,B24C,ABRASIVE OR RELATED BLASTING WITH PARTICULATE MATERIAL
u,B24D,"TOOLS FOR GRINDING, BUFFING OR SHARPENINGabrading-bodies specially designed for tumbling apparatus, e.g. abrading-balls honing tools lapping tools"
c,B25,HAND TOOLSPORTABLE POWER-DRIVEN TOOLSHANDLES FOR HAND IMPLEMENTSWORKSHOP EQUIPMENTMANIPULATORS
u,B25B,"TOOLS OR BENCH DEVICES NOT OTHERWISE PROVIDED FOR, FOR FASTENING, CONNECTING, DISENGAGING, OR HOLDING"
u,B25C,HAND-HELD NAILING OR STAPLING TOOLSMANUALLY-OPERATED PORTABLE STAPLING TOOLSmanufacturing footwear
u,B25D,PERCUSSIVE TOOLS
u,B25F,COMBINATION OR MULTI-PURPOSE TOOLS NOT OTHERWISE PROVIDED FORDETAILS OR COMPONENTS OF PORTABLE POWER-DRIVEN TOOLS NOT PARTICULARLY RELATED TO THE OPERATIONS PERFORMED AND NOT OTHERWISE PROVIDED FOR
u,B25G,HANDLES FOR HAND IMPLEMENTSattaching the blades or the like to handles of hand tools for soil working handles of hand implements for harvesting handles integral with brushware
u,B25H,"WORKSHOP EQUIPMENT, e.g. FOR MARKING-OUT WORKSTORAGE MEANS FOR WORKSHOPS"
u,B25J,"MANIPULATORSCHAMBERS PROVIDED WITH MANIPULATION DEVICESrobotic devices for individually picking fruits, vegetables, hops or the like needle manipulators for surgery manipulators associated with rolling mills manipulators associated with forging machines means for holding wheels or parts thereof cranes arrangements for handling fuel or other materials which are used within nuclear reactors structural combination of manipulators with cells or rooms shielded against radiation"
c,B26,HAND CUTTING TOOLSCUTTINGSEVERING
u,B26B,"HAND-HELD CUTTING TOOLS NOT OTHERWISE PROVIDED FORfor harvesting for horticulture, for forestry for butchering or meat treatment for manufacturing or repairing footwear nail clippers or cutters kitchen equipment for surgical purposes for metal cutting by abrasive fluid jets plier-like tools with cutting edges pincers handles for hand implements, in general guillotine-type cutters for erasing for textile materials"
u,B26D,"CUTTINGDETAILS COMMON TO MACHINES FOR PERFORATING, PUNCHING, CUTTING-OUT, STAMPING-OUT OR SEVERINGdisintegrating by knives or other cutting or tearing members which chop material into fragments cutting by abrasive fluid jets hand-held cutting tools"
